date,port_return,long_return,short_return,n_long,n_short,n_signals,cumulative_return
2026-03-16,-0.010050218902892632,-0.007263822162825395,-0.012836615642959867,1,3,4,-0.010050218902892594
2026-03-17,-0.001300444261574607,0.00807740072972174,-0.010678289252870954,4,1,5,-0.011337593414967317
2026-03-18,-0.015485138020870492,-0.030970276041740984,0.0,5,0,5,-0.026647167236982572
2026-03-19,0.008032600803703781,0.0187456722736854,-0.0026804706662778345,1,5,6,-0.018828612490243035
2026-03-20,0.006551791747566168,-0.00668361448531829,0.019787197980450626,2,3,5,-0.012400181890608541
2026-03-23,-0.013849518907392666,-0.0029003500427252638,-0.02479868777206007,1,3,4,-0.02607796424445208
2026-03-24,0.014056728189256351,0.01919226826413467,0.008921188114378031,6,1,7,-0.012387806910309163
2026-03-25,-0.00991133699916876,-0.01982267399833752,0.0,3,0,3,-0.022176364180509278
2026-03-27,0.003516003139908186,-0.012930013328741552,0.019962019608557924,1,3,4,-0.018738333206691493
2026-03-30,-0.008126706824674174,0.0,-0.016253413649348347,0,4,4,-0.026712759091011895
2026-04-01,0.0065143025311666936,0.013028605062333387,0.0,3,0,3,-0.020372471554006233
2026-04-02,0.006267747412165514,0.019246242498262678,-0.00671074767393165,2,2,4,-0.01423241364770278
2026-04-06,-0.007024628348877515,0.0049950051383302885,-0.01904426183608532,1,2,3,-0.021157064580197726
2026-04-07,-0.012200771049967002,0.02811046247664939,-0.05251200457658339,2,4,6,-0.03309970312913235
2026-04-08,-0.004551226668970898,-0.009102453337941796,0.0,8,0,8,-0.03750028554648688
2026-04-09,-0.027046203862668976,-0.030607081400578384,-0.023485326324759564,2,3,5,-0.06353224904135724
